parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
25Na,25Mg,b-,11,14,0.0,5/2,1,12,13,974.7,3/2,1,27.46,0.22,5.04,0.1,0.056052186,0.012906493,0.230258509,True,5,3,0.0,False,-1.0
25Na,25Mg,b-,11,14,0.0,5/2,1,12,13,1611.772,7/2,1,9.48,0.14,5.03,0.1,0.057357809,0.013207124,0.230258509,True,5,7,0.0,False,1.0
25Na,25Mg,b-,11,14,0.0,5/2,1,12,13,1964.62,5/2,2,0.44,0.007,6.04,0.1,0.005605219,0.001290649,0.230258509,True,5,5,0.0,False,0.0
25Na,25Mg,b-,11,14,0.0,5/2,1,12,13,2801.46,3/2,2,0.247,0.004,5.25,0.1,0.034561498,0.007958079,0.230258509,True,5,3,0.0,False,-1.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,1808.8,2,1,87.8,0.07,4.71,0.01,0.119837449,0.002759359,0.023025851,True,6,4,0.0,False,-1.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,2938.26,2,2,0.05,0.04,7.6,0.4,0.000154381,0.00014219,0.921034037,True,6,4,0.0,False,-1.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,3941.0,3,1,1.31,0.04,5.87,0.01,0.008290726,0.000190901,0.023025851,True,6,6,0.0,False,0.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,4319.17,4,1,0.493,0.011,6.15,0.01,0.004351035,0.000100186,0.023025851,True,6,8,0.0,False,1.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,4332.02,2,3,1.65,0.03,5.62,0.01,0.014743227,0.000339475,0.023025851,True,6,4,0.0,False,-1.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,4350.0,3,2,3.17,0.07,5.33,0.01,0.028747002,0.000661924,0.023025851,True,6,6,0.0,False,0.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,4834.92,2,4,2.378,0.019,5.25,0.01,0.034561498,0.000795808,0.023025851,True,6,4,0.0,False,-1.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,4901.16,4,2,0.246,0.011,6.21,0.02,0.003789593,0.000174517,0.046051702,True,6,8,0.0,False,1.0
26Na,26Mg,b-,11,15,0.0,3,1,12,14,5291.65,2,5,0.0129,0.011,7.31,0.06,0.000301018,4.15872e-05,0.138155106,True,6,4,0.0,False,-1.0
27Na,27Mg,b-,11,16,0.0,5/2,1,12,15,984.7,3/2,1,85.8,1.1,4.3,0.015,0.308029674,0.010638968,0.034538776,True,5,3,0.0,False,-1.0
27Na,27Mg,b-,11,16,0.0,5/2,1,12,15,1698.0,5/2,1,11.3,0.7,4.99,0.03,0.062891587,0.004344397,0.069077553,True,5,5,0.0,False,0.0
27Na,27Mg,b-,11,16,0.0,5/2,1,12,15,1940.0,5/2,2,0.5,0.7,6.3,0.8,0.003080297,0.005674116,1.842068074,True,5,5,0.0,False,0.0
28Na,28Mg,b-,11,17,0.0,1,1,12,16,0.0,0,1,60.0,5.0,4.6,0.1,0.15438054,0.035547433,0.230258509,True,2,0,0.0,False,-1.0
28Na,28Mg,b-,11,17,0.0,1,1,12,16,1473.55,2,1,11.0,6.0,5.1,0.2,0.048819413,0.022482171,0.460517019,True,2,4,0.0,False,1.0
28Na,28Mg,b-,11,17,0.0,1,1,12,16,3862.15,0,2,20.1,1.9,4.42,0.01,0.233664403,0.005380322,0.023025851,True,2,0,0.0,False,-1.0
28Na,28Mg,b-,11,17,0.0,1,1,12,16,4554.6,2,2,1.0,0.25,5.6,0.1,0.015438054,0.003554743,0.230258509,True,2,4,0.0,False,1.0
