A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include
23,Na,11,12,6235.4,0.6,13/2,16 FS 8,701.0,1.0,12.0,6.0,(M1),0.4,0.3,13,16,FS,8,1.6e-14,8e-15,0.7161972439135291,0.5371479329351467,23Na,11/2,11,1,1,True
26,Mg,12,14,3941.57,0.04,3,0.83 PS 0.12,2132.71,0.04,61.3,1.6,M1,0.00104,1.6E-4,6,0.83,PS,0.12,8.299999999999999e-13,1.2e-13,0.0018621128341751753,0.00028647889756541165,26Mg,2,4,1,1,True
26,Mg,12,14,4835.13,0.05,2,28 FS 6,1896.72,0.05,100.0,0.4,M1,0.096,0.021,4,28,FS,6,2.8e-14,6.0000000000000005e-15,0.17188733853924698,0.03760035530546028,26Mg,2,4,4,2,True
26,Mg,12,14,6125.47,0.05,3,14 FS 6,1775.31,0.05,100.0,1.4,[M1],0.2,0.09,6,14,FS,6,1.4e-14,6.0000000000000005e-15,0.35809862195676456,0.16114437988054403,26Mg,3,6,3,2,True
26,Mg,12,14,6622.94,0.14,4,19 FS 5,1146.9,0.0,19.0,2.0,[M1],0.063,0.018,8,19,FS,5,1.9e-14,5.000000000000001e-15,0.11280106591638082,0.0322288759761088,26Mg,4,8,5,3,True
31,Mg,12,19,50.1,0.2,3/2,16 NS 3,50.2,0.2,100.0,0.0,[M1],0.0106,0.0021,3,16,NS,3,1.6e-08,3.0000000000000004e-09,0.01897922696370852,0.0037600355305460274,31Mg,1/2,1,1,1,True
25,Al,13,12,2485.3,0.9,1/2,4 FS 2,2033.4,1.0,100.0,4.0,M1,0.5,0.3,1,4,FS,2,4e-15,2e-15,0.8952465548919113,0.5371479329351467,25Al,1/2,1,2,1,True
26,Al,13,13,1057.739,0.012,1,25 FS 5,829.3,0.4,100.0,0.0,M1,1.5,0.3,2,25,FS,5,2.5e-14,5.000000000000001e-15,2.685739664675734,0.5371479329351467,26Al,0,0,1,1,True
26,Al,13,13,1850.62,0.03,1,32 FS 3,1622.0,0.7,100.0,0.1,M1,0.16,0.015,2,32,FS,3,3.2e-14,3.0000000000000002e-15,0.2864788975654116,0.026857396646757337,26Al,0,0,2,1,True
26,Al,13,13,2069.47,0.03,2,14 FS 2,1011.71,0.0,100.0,1.2,[M1],1.14,0.17,4,14,FS,2,1.4e-14,2e-15,2.0411621451535575,0.30438382866324987,26Al,1,2,2,1,True
26,Al,13,13,2069.47,0.03,2,14 FS 2,310.43,0.0,0.23,0.03,[M1],0.091,0.018,4,14,FS,2,1.4e-14,2e-15,0.16293487299032786,0.0322288759761088,26Al,2,4,2,1,True
26,Al,13,13,2069.47,0.03,2,14 FS 2,218.85,0.0,0.053,0.013,[M1],0.06,0.017,4,14,FS,2,1.4e-14,2e-15,0.10742958658702935,0.030438382866324987,26Al,1,2,2,2,True
26,Al,13,13,2069.47,0.03,2,14 FS 2,1652.56,0.0,28.4,1.1,[M1],0.075,0.011,4,14,FS,2,1.4e-14,2e-15,0.13428698323378668,0.019695424207622048,26Al,3,6,2,1,True
26,Al,13,13,2365.15,0.018,3,0.8 PS 0.2,295.678,0.0,100.0,2.0,[M1],0.54,0.14,6,0.8,PS,0.2,8e-13,2e-13,0.9668662792832643,0.25066903536973517,26Al,2,4,2,2,True
26,Al,13,13,2545.367,0.017,3,0.69 PS 0.17,475.892,0.0,100.0,1.5,[M1],0.2,0.05,6,0.69,PS,0.17,6.899999999999999e-13,1.7e-13,0.35809862195676456,0.08952465548919114,26Al,2,4,3,2,True
26,Al,13,13,2660.92,0.05,2,3 PS 3,591.44,0.0,41.0,1.6,[M1],0.009,0.009,4,3,PS,3,3e-12,3e-12,0.0161144379880544,0.0161144379880544,26Al,2,4,3,2,True
26,Al,13,13,2740.03,0.03,1,31 FS 3,2511.59,0.0,100.0,0.2,M1,0.044,0.005,2,31,FS,3,3.1e-14,3.0000000000000002e-15,0.07878169683048819,0.008952465548919113,26Al,0,0,4,1,True
26,Al,13,13,2913.4,0.05,2,68 FS 4,843.92,0.0,100.0,1.3,[M1],0.365,0.023,4,68,FS,4,6.8e-14,4e-15,0.6535299850710953,0.04118134152502792,26Al,2,4,4,2,True
26,Al,13,13,3073.63,0.04,3,194 FS 31,1004.14,0.0,100.0,0.6,[M1],0.093,0.015,6,194,FS,31,1.94e-13,3.1e-14,0.1665158592098955,0.026857396646757337,26Al,2,4,4,2,True
26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2102.058,0.0,25.7,0.8,M1,0.09,0.03,4,3.5,FS,0.7,3.5e-15,7e-16,0.16114437988054403,0.053714793293514675,26Al,1,2,5,1,True
26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,614.514,0.0,2.24,0.08,[M1],0.39,0.08,4,3.5,FS,0.7,3.5e-15,7e-16,0.6982923128156908,0.1432394487827058,26Al,3,6,5,3,True
26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1400.814,0.0,23.1,0.6,[M1],0.34,0.07,4,3.5,FS,0.7,3.5e-15,7e-16,0.6087676573264997,0.12533451768486759,26Al,2,4,5,1,True
26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1309.233,0.0,0.55,0.05,[M1],0.0098,0.0022,4,3.5,FS,0.7,3.5e-15,7e-16,0.01754683247588146,0.00393908484152441,26Al,1,2,5,2,True
26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1088.224,0.0,4.25,0.13,[M1],0.13,0.03,4,3.5,FS,0.7,3.5e-15,7e-16,0.23276410427189695,0.053714793293514675,26Al,1,2,5,3,True
26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2742.881,0.0,100.0,1.1,M1,0.16,0.06,4,3.5,FS,0.7,3.5e-15,7e-16,0.2864788975654116,0.10742958658702935,26Al,3,6,5,1,True
26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,794.726,0.0,0.35,0.08,[M1],0.028,0.009,4,3.5,FS,0.7,3.5e-15,7e-16,0.05013380707394703,0.0161144379880544,26Al,3,6,5,2,True
26,Al,13,13,3596.34,0.04,3,18 FS 3,1526.82,0.0,100.0,0.22,[M1],0.32,0.06,6,18,FS,3,1.8000000000000002e-14,3.0000000000000002e-15,0.5729577951308232,0.10742958658702935,26Al,2,4,5,2,True
26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,1611.16,0.0,100.0,0.21,[M1],0.59,0.1,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,1.0563909347724554,0.17904931097838228,26Al,2,4,6,2,True
26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,520.79,0.0,0.28,0.04,[M1],0.049,0.011,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,0.08773416237940732,0.019695424207622048,26Al,2,4,6,5,True
26,Al,13,13,3723.81,0.04,1,4.2 FS 1.4,3495.25,0.0,100.0,0.1,M1,0.12,0.04,2,4.2,FS,1.4,4.2000000000000004e-15,1.4e-15,0.2148591731740587,0.0716197243913529,26Al,0,0,5,1,True
26,Al,13,13,3750.9,0.04,2,22 FS 6,1681.37,0.0,100.0,3.0,[M1],0.14,0.04,4,22,FS,6,2.2e-14,6.0000000000000005e-15,0.25066903536973517,0.0716197243913529,26Al,2,4,6,2,True
26,Al,13,13,3750.9,0.04,2,22 FS 6,591.0,0.0,23.2,1.4,[M1],0.76,0.22,4,22,FS,6,2.2e-14,6.0000000000000005e-15,1.3607747634357052,0.39390848415244095,26Al,2,4,6,5,True
26,Al,13,13,3753.63,0.13,0,5 FS 2,1681.93,0.0,11.0,0.3,[M1],0.09,0.04,0,5,FS,2,5.000000000000001e-15,2e-15,0.16114437988054403,0.0716197243913529,26Al,1,2,2,3,True
26,Al,13,13,3753.63,0.13,0,5 FS 2,1013.58,0.0,2.2,0.3,[M1],0.08,0.04,0,5,FS,2,5.000000000000001e-15,2e-15,0.1432394487827058,0.0716197243913529,26Al,1,2,2,4,True
26,Al,13,13,3753.63,0.13,0,5 FS 2,2695.74,0.0,100.0,0.5,[M1],0.19,0.08,0,5,FS,2,5.000000000000001e-15,2e-15,0.3401936908589263,0.1432394487827058,26Al,1,2,2,1,True
26,Al,13,13,3753.63,0.13,0,5 FS 2,1902.93,0.0,3.0,0.4,[M1],0.017,0.007,0,5,FS,2,5.000000000000001e-15,2e-15,0.030438382866324987,0.012533451768486758,26Al,1,2,2,2,True
